अँग्लिकन व्यक्तीकडे कोकरू असते.	दुष्ट व्यक्तीकडे कोकरू असते.
अँग्लिकन व्यक्तीकडे घोडा असतो.	हुशार व्यक्तीकडे घोडा असतो.
एका अँग्लिकन व्यक्तीने बदकासाठी अंदाजपत्रक तयार केले.	एका शहाण्याने बदकासाठी अंदाजपत्रक तयार केले.
एका अँग्लिकन व्यक्तीने कंदील दान केला.	एका हुशार व्यक्तीने कंदील दान केले.
अँग्लिकन व्यक्तीला कपाट परवडू शकते.	स्वच्छ व्यक्तीला कपाट परवडू शकते.
एका अँग्लिकन व्यक्तीने रोलची देवाणघेवाण केली.	एका अव्यावसायिक व्यक्तीने रोलची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने व्यवस्थापकाला बोलावले.	एका सौम्य व्यक्तीने व्यवस्थापकाला बोलावले.
एका अँग्लिकन व्यक्तीने एक गुरू ओळखला.	एका हुशार व्यक्तीने गुरूची ओळख पटवली.
एक अँग्लिकन व्यक्ती एका लढवय्याला भेटली.	एक आक्रमक व्यक्ती एका लढवय्याला भेटली.
एका अँग्लिकन व्यक्तीने एका पुजाऱ्याशी मैत्री केली.	एका असहिष्णु व्यक्तीने एका पुजाऱ्याशी मैत्री केली.
एक अँग्लिकन व्यक्ती एका सासूला भेटली.	एका स्वच्छ व्यक्तीला एक सासरे भेटले.
एका अँग्लिकन व्यक्तीने हीटरचा व्यापार केला.	एका अशुद्ध व्यक्तीने हीटरचा व्यापार केला.
एका अँग्लिकन व्यक्तीला अर्चिन आवडत असे.	एका द्वेषयुक्त व्यक्तीला अर्चिन आवडत असे.
एका अँग्लिकन व्यक्तीने दुपारच्या जेवणासाठी पैसे दिले.	एका लोभी व्यक्तीने जेवणासाठी पैसे दिले.
एक अँग्लिकन व्यक्ती एका राज्यपालाला भेटली.	एक प्रामाणिक व्यक्ती एका राज्यपालाला भेटली.
एका अँग्लिकन व्यक्तीने दुपारच्या जेवणासाठी अंदाजपत्रक तयार केले.	एका कमकुवत व्यक्तीने दुपारच्या जेवणासाठी अंदाजपत्रक तयार केले.
एका अँग्लिकन व्यक्तीने हेडफोनची देवाणघेवाण केली.	एका कपटी व्यक्तीने हेडफोनची देवाणघेवाण केली.
अँग्लिकन व्यक्तीची एक गाडी आहे.	एका गर्विष्ठ व्यक्तीची गाडी असते.
एका अँग्लिकन व्यक्तीने एक बस विकली.	एका शहाण्याने बस विकली.
अँग्लिकन व्यक्तीला गाय परवडू शकते.	गर्विष्ठ व्यक्तीला गाय परवडू शकते.
एका अँग्लिकन व्यक्तीने एका सोफ्याची देवाणघेवाण केली.	एका द्वेषयुक्त व्यक्तीने एका सोफ्याची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने राज्यपाल ओळखला.	एका सुस्वभावी व्यक्तीने राज्यपालाला ओळखले.
एका अँग्लिकन व्यक्तीने बदकासाठी अंदाजपत्रक तयार केले.	एका प्रामाणिक व्यक्तीने बदकासाठी अंदाजपत्रक तयार केले.
एका अँग्लिकन व्यक्तीला एका हुकूमशहाचा तिरस्कार होता.	एका क्रूर व्यक्तीला एका हुकूमशहाचा तिरस्कार वाटत असे.
एक अँग्लिकन व्यक्ती एका सेनापतीशी बोलली.	एक दुष्ट माणूस एका सेनापतीशी बोलला.
एका अँग्लिकन व्यक्तीने एक मफिन वाचवला.	एका विनोदी व्यक्तीने एक मफिन वाचवला.
एका अँग्लिकन व्यक्तीने एक दूरदर्शन वाचवला.	एका घाणेरड्या व्यक्तीने एक दूरदर्शन वाचवला.
एका अँग्लिकन व्यक्तीने सफरचंदासाठी अंदाजपत्रक तयार केले.	एका घाणेरड्या व्यक्तीने सफरचंदासाठी बजेट केले.
एका अँग्लिकन व्यक्तीने एका सरदाराला भेट दिली.	एका व्यावसायिक व्यक्तीने एका सरदाराला भेट दिली.
एक अँग्लिकन व्यक्ती एका राजप्रतिनिधीला भेटली.	एक मूर्ख व्यक्ती एका राजप्रतिनिधीला भेटली.
एका अँग्लिकन व्यक्तीने एका अधिकाऱ्याला बोलावले.	एका बलवान व्यक्तीने एका अधिकाऱ्याला बोलावले.
एका अँग्लिकन व्यक्तीला निवृत्त म्हटले जाते.	एक सुंदर व्यक्ती ज्याला निवृत्त म्हणतात.
एका अँग्लिकन व्यक्तीने ब्लाऊजची देवाणघेवाण केली.	एका प्रामाणिक व्यक्तीने ब्लाऊजची देवाणघेवाण केली.
अँग्लिकन व्यक्तीला डुक्कर परवडू शकतो.	असहिष्णु व्यक्तीला डुक्कर परवडू शकतो.
एका अँग्लिकन व्यक्तीने खच्चराला बदलले.	एका फसव्या व्यक्तीने खच्चराला अदलाबदल केले.
एका अँग्लिकन व्यक्तीने एका अधिकाऱ्याला बोलावले.	एका लोभी व्यक्तीने एका अधिकाऱ्याला बोलावले.
एका अँग्लिकन व्यक्तीने एक ओव्हन वाचवले.	एका मूर्ख व्यक्तीने एक ओव्हन वाचवले.
एक अँग्लिकन व्यक्ती एका सेनापतीला भेटली.	एक असहिष्णु व्यक्ती एका सेनापतीला भेटली.
एका अँग्लिकन व्यक्तीने गालिचा विकला.	एका बलवान व्यक्तीने एक गाद्याची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने जेवण बनवले.	एका उद्धट व्यक्तीने जेवण बनवले.
अँग्लिकन व्यक्तीला एका कुलीन व्यक्तीवर प्रेम होते.	एक उद्धट व्यक्ती एका कुलीन व्यक्तीवर प्रेम करत असे.
एका अँग्लिकन व्यक्तीने जेवण विकले.	एका अव्यावसायिक व्यक्तीने जेवण विकले.
एक अँग्लिकन व्यक्ती एका नियंत्रकाशी बोलली.	एक अव्यावसायिक व्यक्ती एका नियंत्रकाशी बोलली.
एका अँग्लिकन व्यक्तीने जीपची अदलाबदल केली.	एका आक्रमक व्यक्तीने जीपची अदलाबदल केली.
एका अँग्लिकन व्यक्तीने संगणक जतन केला.	एका फसव्या व्यक्तीने संगणक वाचवला.
एका अँग्लिकन व्यक्तीला एका बिशपचा तिरस्कार होता.	एका अशुद्ध व्यक्तीला एका बिशपचा द्वेष होता.
एका अँग्लिकन व्यक्तीने एक टोस्टर दान केले.	एका अज्ञानी व्यक्तीने एक टोस्टर दान केले.
एका अँग्लिकन व्यक्तीने सूप शिजवले.	एका सुज्ञ व्यक्तीने सूप शिजवले.
एका अँग्लिकन व्यक्तीने एक खीर विकली.	एका फसव्या व्यक्तीने एक खीर विकली.
एक अँग्लिकन व्यक्ती बॉस म्हणून ओळखली जात होती.	एक उदार व्यक्ती ज्याला बॉस म्हणतात.
एका अँग्लिकन व्यक्तीने सूप वाचवले.	एका कपटी व्यक्तीने सूप वाचवले.
अँग्लिकन व्यक्तीकडे एस. यू. व्ही. आहे.	एका स्वच्छ व्यक्तीकडे एस. यू. व्ही. असते.
एका अँग्लिकन व्यक्तीने वासरासाठी पैसे दिले.	एका व्यावसायिक व्यक्तीने वासरासाठी पैसे दिले.
एक अँग्लिकन व्यक्ती एका कुलीन व्यक्तीशी बोलली.	एक चांगली व्यक्ती एका कुलीन व्यक्तीशी बोलली.
एका अँग्लिकन व्यक्तीने एका ड्रेसरला वाचवले.	एका लोभी व्यक्तीने एका ड्रेसरला वाचवले.
एक अँग्लिकन व्यक्ती ट्रेन चालवत होती.	एक उदार व्यक्ती ट्रेन चालवत होती.
एका अँग्लिकन व्यक्तीने कोशिंबीर खाल्ले.	एका हुशार व्यक्तीने कोशिंबीर खाल्ले.
एक अँग्लिकन व्यक्ती एका सासूला भेटली.	एक अव्यावसायिक व्यक्ती एका सासूला भेटली.
एका अँग्लिकन व्यक्तीला एका अध्यक्षाची आवड होती.	एक उदार व्यक्ती अध्यक्षावर प्रेम करत असे.
एका अँग्लिकन व्यक्तीने एका ग्राहकाशी मैत्री केली.	एका अविवेकी व्यक्तीने एका ग्राहकाशी मैत्री केली.
एक अँग्लिकन व्यक्ती एका वरिष्ठाला भेटली.	एक आक्रमक व्यक्ती एका वरिष्ठाला भेटली.
एका अँग्लिकन व्यक्तीला एक कर्णधार आवडला.	एका फसव्या व्यक्तीला एक कर्णधार आवडायचा.
एका अँग्लिकन व्यक्तीने मुद्रकासाठी अंदाजपत्रक तयार केले.	एका मूर्ख व्यक्तीने मुद्रकासाठी अंदाजपत्रक तयार केले.
एका अँग्लिकन व्यक्तीने कोंबडीसाठी पैसे दिले.	एका उद्धट व्यक्तीने कोंबडीसाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने हेडफोन दान केले.	एका सौम्य व्यक्तीने हेडफोन दान केले.
एका अँग्लिकन व्यक्तीने लॅपटॉपची अदलाबदल केली.	एका असहिष्णु व्यक्तीने लॅपटॉपची अदलाबदल केली.
एका अँग्लिकन व्यक्तीने जेवणाची देवाणघेवाण केली.	एका सुज्ञ व्यक्तीने जेवणाची देवाणघेवाण केली.
अँग्लिकन व्यक्तीला कॉन्सुल म्हणतात.	एका दुष्ट व्यक्तीला कॉन्सुल म्हणतात.
एका अँग्लिकन व्यक्तीने हेडफोन जतन केले.	एका कपटी व्यक्तीने हेडफोन वाचवले.
अँग्लिकन व्यक्तीला एका पूर्वजावर प्रेम होते.	एका उद्धट व्यक्तीचे पूर्वजावर प्रेम होते.
एका अँग्लिकन व्यक्तीने एक शीतगृह दान केले.	एका उद्धट व्यक्तीने एक शीतक दान केले.
एका अँग्लिकन व्यक्तीने एका कुळासोबत मैत्री केली.	एका भयंकर व्यक्तीने एका कुळासोबत मैत्री केली.
एक अँग्लिकन व्यक्ती एका कप्तानाला भेटली.	एक हुशार व्यक्ती एका कर्णधाराला भेटली.
एका अँग्लिकन व्यक्तीने पॅनकेकसाठी पैसे दिले.	एका वाईट व्यक्तीने पॅनकेकसाठी पैसे दिले.
अँग्लिकन व्यक्तीकडे व्हॅन असते.	एका अशुद्ध व्यक्तीकडे व्हॅन असते.
एका अँग्लिकन व्यक्तीने आंबा पूर्ण केला.	एका बलवान व्यक्तीने आंबा संपवला.
एका अँग्लिकन व्यक्तीने रात्रीचे जेवण तयार केले.	एका अविवेकी व्यक्तीने रात्रीचे जेवण तयार केले.
एक अँग्लिकन व्यक्ती एका डॉनला भेटली.	एका फसव्या व्यक्तीला एक डॉन भेटला.
अँग्लिकन व्यक्तीला प्रौढ व्यक्तीचा तिरस्कार होता.	एक शुद्ध व्यक्ती प्रौढ व्यक्तीचा द्वेष करत असे.
एका अँग्लिकन व्यक्तीने टेबलसाठी पैसे दिले.	एका मूर्ख व्यक्तीने टेबलासाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने रात्रीचे जेवण संपवले.	एका सौम्य व्यक्तीने जेवण संपवले.
एका अँग्लिकन व्यक्तीने एका दिग्दर्शकाची ओळख पटवली.	एका अविवेकी व्यक्तीने एका दिग्दर्शकाची ओळख पटवली.
एका अँग्लिकन व्यक्तीने एक रोल विकला.	एका सुंदर व्यक्तीने एक गुंडाळी विकली.
एका अँग्लिकन व्यक्तीला न्यायाधीशाचा तिरस्कार वाटत असे.	एका घाणेरड्या व्यक्तीला न्यायाधीशाचा तिरस्कार वाटायचा.
एका अँग्लिकन व्यक्तीला एक अमीर आवडला.	एका मूर्ख व्यक्तीला एक अमीर आवडायचा.
एका अँग्लिकन व्यक्तीने कोशिंबीर बदलली.	एका हुशार व्यक्तीने कोशिंबीर बदलली.
एका अँग्लिकन व्यक्तीने एक बागेल बदलली.	एका अशुद्ध व्यक्तीने एक बागल अदलाबदल केले.
एक अँग्लिकन व्यक्ती ज्याला अर्चिन म्हणतात.	एक अव्यावसायिक व्यक्ती ज्याला अर्चिन म्हणतात.
एका अँग्लिकन व्यक्तीने एक वासर विकत घेतले.	एका सुंदर व्यक्तीने एक वासर विकत घेतले.
अँग्लिकन व्यक्तीला गणकयंत्र परवडू शकते.	सुस्वभावी व्यक्तीला गणकयंत्र परवडू शकते.
एका अँग्लिकन व्यक्तीने मांजर वाचवली.	एका चांगल्या माणसाने मांजराला वाचवले.
एक अँग्लिकन व्यक्ती एका उद्योगपतीशी बोलली.	एक अविवेकी व्यक्ती एका उद्योगपतीशी बोलली.
एका अँग्लिकन व्यक्तीने एका कुळाला भेट दिली.	एका चांगल्या व्यक्तीने एका कुळाला भेट दिली.
एका अँग्लिकन व्यक्तीने एक स्टेपलर वाचवला.	एका दुष्ट व्यक्तीने एक स्टेपलर वाचवला.
एका अँग्लिकन व्यक्तीला एका हुकूमशहाचा तिरस्कार होता.	एका वाईट व्यक्तीला एका हुकूमशहाचा तिरस्कार वाटायचा.
एका अँग्लिकन व्यक्तीने एका किशोरवयीन मुलाला भेट दिली.	एक अविवेकी व्यक्ती एका किशोरवयीन मुलाला भेटायला आली.
एक अँग्लिकन व्यक्ती एका कर्नलला भेटली.	एक कपटी व्यक्ती एका कर्नलला भेटली.
एक अँग्लिकन व्यक्ती एका कर्नलला भेटली.	एक हुशार व्यक्ती एका कर्नलला भेटली.
एका अँग्लिकन व्यक्तीला एका हुकूमशहाची आवड होती.	एका चतुर व्यक्तीला एका हुकूमशहाची आवड होती.
एक अँग्लिकन व्यक्ती एका कर्मचाऱ्यांशी बोलली.	एक खंबीर व्यक्ती एका कर्मचाऱ्यांशी बोलली.
एका अँग्लिकन व्यक्तीने केळी खाल्ले.	एका लोभी व्यक्तीने केळी खाल्ले.
अँग्लिकन व्यक्तीला एका सेनापतीचा तिरस्कार होता.	एक अविवेकी व्यक्ती एका सेनापतीचा द्वेष करत असे.
एका अँग्लिकन व्यक्तीने कोंबडीची देवाणघेवाण केली.	एका अशुद्ध व्यक्तीने कोंबडीची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीला एका तरुणाचा तिरस्कार होता.	एका सुस्वभावी व्यक्तीला एका तरुणाचा तिरस्कार वाटायचा.
एका अँग्लिकन व्यक्तीने टोपीची देवाणघेवाण केली.	एका फसव्या व्यक्तीने टोपीची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीला एका नियंत्रकाचा तिरस्कार होता.	एका सौम्य व्यक्तीला एका नियंत्रकाचा तिरस्कार वाटत असे.
एका अँग्लिकन व्यक्तीने एक गाडी विकली.	एका सौम्य व्यक्तीने एक गाडी विकली.
अँग्लिकन व्यक्तीला टोपी परवडू शकते.	घाणेरड्या व्यक्तीला टोपी परवडू शकते.
एका अँग्लिकन व्यक्तीने केक वाचवला.	एका सुस्वभावी व्यक्तीने केक वाचवला.
एका अँग्लिकन व्यक्तीने कोशिंबीर खाल्ले.	एका विनोदी व्यक्तीने कोशिंबीर खाल्ले.
एका अँग्लिकन व्यक्तीने एका जुलमी व्यक्तीशी मैत्री केली.	एका दुष्ट व्यक्तीने एका जुलमी व्यक्तीशी मैत्री केली.
एका अँग्लिकन व्यक्तीने पॅनकेक विकले.	एका अज्ञानी व्यक्तीने पॅनकेक विकले.
एका अँग्लिकन व्यक्तीने ससा साठी पैसे दिले.	एका चांगल्या व्यक्तीने ससा साठी पैसे दिले.
एका अँग्लिकन व्यक्तीने एका नेत्याची ओळख पटवली.	एका दुष्ट व्यक्तीने एका नेत्याची ओळख पटवली.
एका अँग्लिकन व्यक्तीने एका सोफ्यासाठी अंदाजपत्रक तयार केले.	एका अस्वच्छ व्यक्तीने एका सोफ्यासाठी बजेट केले.
एका अँग्लिकन व्यक्तीला एका शासकाचा द्वेष होता.	एका प्रामाणिक व्यक्तीला शासकाचा तिरस्कार वाटायचा.
एका अँग्लिकन व्यक्तीने एका प्रौढ व्यक्तीशी मैत्री केली.	एका वाईट व्यक्तीने एका प्रौढ व्यक्तीशी मैत्री केली.
एका अँग्लिकन व्यक्तीने सफरचंदासाठी अंदाजपत्रक तयार केले.	एका भयानक व्यक्तीने सफरचंदासाठी अंदाजपत्रक तयार केले.
एका अँग्लिकन व्यक्तीने खच्चराला बदलले.	एका हुशार व्यक्तीने खच्चराला बदलले.
एक अँग्लिकन व्यक्ती एका शेजाऱ्याला भेटली.	एक गर्विष्ठ व्यक्ती शेजाऱ्याला भेटायला गेली.
एका अँग्लिकन व्यक्तीला एक शूरवीर भेटला.	एका वाईट व्यक्तीला एक शूरवीर भेटला.
एका अँग्लिकन व्यक्तीने एका चाहत्याला अडवले.	एका असहिष्णु व्यक्तीने एका चाहत्याला अडवले.
एक अँग्लिकन व्यक्ती एका अमीरशी बोलली.	एक सुंदर व्यक्ती एका अमीरशी बोलली.
एका अँग्लिकन व्यक्तीने एप्रनची देवाणघेवाण केली.	एका अज्ञानी व्यक्तीने एप्रनची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने एका गाडीसाठी अंदाजपत्रक तयार केले.	एका कमकुवत व्यक्तीने वॅगनसाठी अंदाजपत्रक तयार केले.
एका अँग्लिकन व्यक्तीने डोनट पूर्ण केले.	एका कुरूप व्यक्तीने डोनट पूर्ण केले.
एका अँग्लिकन व्यक्तीने एक अंगठी विकत घेतली.	एका भयंकर व्यक्तीने एक अंगठी विकत घेतली.
अँग्लिकन व्यक्तीला एक शेजारी आवडायचा.	एका फसव्या व्यक्तीला शेजारी आवडायचा.
एक अँग्लिकन व्यक्ती एका कार्यकारी अधिकाऱ्याला भेटली.	एक चांगली व्यक्ती एका कार्यकारी अधिकाऱ्याला भेटली.
अँग्लिकन व्यक्तीला एक रहिवासी आवडला.	एका सुंदर व्यक्तीला एक रहिवासी आवडायचा.
एका अँग्लिकन व्यक्तीने एका अधिकाऱ्याशी मैत्री केली.	एका कमकुवत व्यक्तीने एका अधिकाऱ्याशी मैत्री केली.
एका अँग्लिकन व्यक्तीला एका अनोळखी व्यक्तीचा तिरस्कार होता.	लोभी व्यक्ती एका अनोळखी व्यक्तीचा द्वेष करत असे.
अँग्लिकन व्यक्तीकडे खुर्ची असते.	एका घाणेरड्या व्यक्तीकडे खुर्ची असते.
एका अँग्लिकन व्यक्तीने प्रतिनिधीला बोलावले.	एका आक्रमक व्यक्तीने प्रतिनिधीला बोलावले.
एका अँग्लिकन व्यक्तीने एका अर्चिनला भेट दिली.	एका सुज्ञ व्यक्तीने एका अर्चिनला भेट दिली.
एका अँग्लिकन व्यक्तीला एका जुलमी व्यक्तीचा तिरस्कार होता.	एका कुरूप व्यक्तीला एका जुलमी व्यक्तीचा तिरस्कार वाटत असे.
एक अँग्लिकन व्यक्ती एका चाहत्याला भेटली.	एक चांगली व्यक्ती एका चाहत्याला भेटली.
एक अँग्लिकन व्यक्ती शेजाऱ्याशी बोलली.	एक लोभी व्यक्ती शेजाऱ्याशी बोलली.
एका अँग्लिकन व्यक्तीने एक खुर्ची दान केली.	एका क्रूर व्यक्तीने एक खुर्ची दान केली.
एका अँग्लिकन व्यक्तीने दिवा विकला.	एका विनोदी व्यक्तीने दिवा विकला.
एका अँग्लिकन व्यक्तीने बेरेटसाठी पैसे दिले.	एका प्रामाणिक व्यक्तीने बेरेटसाठी पैसे दिले.
एक अँग्लिकन व्यक्ती एका अधिपत्याशी बोलली.	एक बलवान व्यक्ती एका अधिपत्याशी बोलली.
एका अँग्लिकन व्यक्तीने हेडफोन जतन केले.	एका उद्धट व्यक्तीने हेडफोन वाचवले.
अँग्लिकन व्यक्तीला ओव्हन परवडू शकते.	अशुद्ध व्यक्तीला ओव्हन परवडू शकते.
एका अँग्लिकन व्यक्तीने व्हॅनला धडक दिली.	एका सौम्य व्यक्तीने व्हॅनला धडक दिली.
एका अँग्लिकन व्यक्तीने एक रोल पूर्ण केला.	एका चांगल्या व्यक्तीने एक रोल पूर्ण केला.
एका अँग्लिकन व्यक्तीने एक वजीर ओळखला.	एका बलवान व्यक्तीने वजीर ओळखला.
एका अँग्लिकन व्यक्तीला एक व्ही. आय. पी. आवडला.	एका घाणेरड्या व्यक्तीला व्ही. आय. पी. आवडायचा.
एका अँग्लिकन व्यक्तीने एका ग्राहकाची ओळख पटवली.	एका अव्यावसायिक व्यक्तीने एका ग्राहकाची ओळख पटवली.
एका अँग्लिकन व्यक्तीने ब्लेंडरसाठी पैसे दिले.	एका कुरूप व्यक्तीने ब्लेंडरसाठी पैसे दिले.
एक अँग्लिकन व्यक्ती महापौरांशी बोलली.	एक हुशार व्यक्ती महापौरांशी बोलली.
एका अँग्लिकन व्यक्तीने पुडिंग शिजवले.	एका हुशार व्यक्तीने पुडिंग शिजवले.
एका अँग्लिकन व्यक्तीने पॅनकेकची देवाणघेवाण केली.	एका व्यावसायिक व्यक्तीने पॅनकेकची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीला एक प्रौढ व्यक्ती आवडली.	एका सशक्त व्यक्तीला एक प्रौढ व्यक्ती आवडायची.
एका अँग्लिकन व्यक्तीने राष्ट्रपतींना भेट दिली.	एक अशुद्ध व्यक्ती राष्ट्रपतींना भेटली.
एका अँग्लिकन व्यक्तीने पिझ्झा खाल्ला.	एका दुष्ट व्यक्तीने पिझ्झा खाल्ला.
एका अँग्लिकन व्यक्तीला एका निरंकुश व्यक्तीची भेट झाली.	एका सशक्त व्यक्तीला एका निरंकुश व्यक्तीची भेट झाली.
एका अँग्लिकन व्यक्तीने एक ओव्हन विकले.	एका दुष्ट व्यक्तीने एक भट्टी विकली.
एका अँग्लिकन व्यक्तीने शेखची ओळख पटवली.	एका चांगल्या व्यक्तीने शेखची ओळख पटवली.
एका अँग्लिकन व्यक्तीला महापौरांचा तिरस्कार वाटत असे.	एका उदार व्यक्तीला महापौरांचा तिरस्कार वाटत असे.
एका अँग्लिकन व्यक्तीने एका पूर्वजासोबत मैत्री केली.	एका लोभी व्यक्तीने एका पूर्वजासोबत मैत्री केली.
एक अँग्लिकन व्यक्ती महापौरांशी बोलली.	एक सौम्य व्यक्ती महापौरांशी बोलली.
एका अँग्लिकन व्यक्तीने ससाचे बजेट केले.	ससाचे बजेट तयार केलेली एक हुशार व्यक्ती.
एका अँग्लिकन व्यक्तीने जेवण वाचवले.	एका सुंदर व्यक्तीने जेवण वाचवले.
एका अँग्लिकन व्यक्तीने एका टोळीशी मैत्री केली.	एका अविवेकी व्यक्तीने एका सहकाऱ्याशी मैत्री केली.
एका अँग्लिकन व्यक्तीला एक अमीर आवडला.	एका कुरूप व्यक्तीला एक अमीर आवडायचा.
एका अँग्लिकन व्यक्तीने एका समूहाला भेट दिली.	एका अव्यावसायिक व्यक्तीने एका समूहाला भेट दिली.
अँग्लिकन व्यक्तीकडे एक मांजर असते.	एका अशुद्ध व्यक्तीकडे मांजर असते.
एक अँग्लिकन व्यक्ती एका दिग्दर्शकाशी बोलली.	एक मूर्ख व्यक्ती एका दिग्दर्शकाशी बोलली.
एका अँग्लिकन व्यक्तीने मंत्रिमंडळाचे अंदाजपत्रक तयार केले.	एका गर्विष्ठ व्यक्तीने मंत्रिमंडळासाठी अंदाजपत्रक तयार केले.
एक अँग्लिकन व्यक्ती एका कमांडंटला भेटली.	एक अशुद्ध व्यक्ती एका सेनापतीला भेटली.
एका अँग्लिकन व्यक्तीला अधीक्षकाचा तिरस्कार होता.	एका भयंकर व्यक्तीला अधीक्षकाचा तिरस्कार वाटत असे.
एका अँग्लिकन व्यक्तीने एका पोशाखासाठी पैसे दिले.	एका द्वेषयुक्त व्यक्तीने एका पोशाखासाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने पलंग अदलाबदल केला.	एका वाईट व्यक्तीने पलंग अदलाबदल केला.
एका अँग्लिकन व्यक्तीला एका प्रशंसकाचा तिरस्कार होता.	एका व्यावसायिक व्यक्तीला एका चाहत्याने तिरस्कार केला.
एका अँग्लिकन व्यक्तीने एस. यू. व्ही. ची अदलाबदल केली.	एका सुज्ञ व्यक्तीने एस. यू. व्ही. ची अदलाबदल केली.
एका अँग्लिकन व्यक्तीने सार्वभौम व्यक्तीची ओळख पटवली.	एका भयंकर व्यक्तीने एका सार्वभौम व्यक्तीची ओळख पटवली.
एका अँग्लिकन व्यक्तीने पॅनकेक विकत घेतला.	एका कुरूप व्यक्तीने पॅनकेक विकत घेतला.
एका अँग्लिकन व्यक्तीला निरंकुश म्हटले जाते.	एका द्वेषयुक्त व्यक्तीला निरंकुश म्हणतात.
एका अँग्लिकन व्यक्तीने बटाटे खाल्ले.	एका उद्धट व्यक्तीने बटाटे खाल्ले.
एका अँग्लिकन व्यक्तीने एका गुरूंना अडवले.	एका द्वेषयुक्त व्यक्तीने एका गुरूंना अडवले.
एका अँग्लिकन व्यक्तीने न्यायाधीशांना बोलावले.	एका प्रामाणिक व्यक्तीने न्यायाधीशाला बोलावले.
एका अँग्लिकन व्यक्तीने न्याहारीसाठी अंदाजपत्रक तयार केले.	एका व्यावसायिक व्यक्तीने न्याहारीसाठी अंदाजपत्रक तयार केले.
एक अँग्लिकन व्यक्ती एका पंतप्रधानाला भेटली.	एक कमकुवत व्यक्ती एका पंतप्रधानाला भेटली.
एका अँग्लिकन व्यक्तीने एका तरुणाला बोलावले.	एक आक्रमक व्यक्ती त्याला तरुण म्हणते.
एका अँग्लिकन व्यक्तीने सूपसाठी पैसे दिले.	एका सौम्य व्यक्तीने सूपसाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने एक कुत्रा दान केला.	एका द्वेषयुक्त व्यक्तीने एक कुत्रा दान केला.
अँग्लिकन व्यक्तीकडे कॅबिनेट असते.	एका उद्धट व्यक्तीकडे मंत्रिमंडळाची मालकी असते.
एका अँग्लिकन व्यक्तीने दूरचित्रवाणीसाठी अंदाजपत्रक तयार केले.	एक अशुद्ध व्यक्ती दूरदर्शनसाठी बजेट करत होती.
एका अँग्लिकन व्यक्तीने कपाटासाठी अंदाजपत्रक तयार केले.	एक व्यवस्थित माणूस कपाटासाठी अंदाजपत्रक तयार करत होता.
एका अँग्लिकन व्यक्तीने एका पोशाखासाठी अंदाजपत्रक तयार केले.	एका द्वेषयुक्त व्यक्तीने एका पोशाखासाठी अंदाजपत्रक तयार केले.
एका अँग्लिकन व्यक्तीला एका अध्यक्षाची आवड होती.	एका लोभी व्यक्तीला अध्यक्ष आवडायचा.
एका अँग्लिकन व्यक्तीने जेवणाची देवाणघेवाण केली.	एका सौम्य व्यक्तीने जेवणाची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने एक हीटर वाचवला.	एका कमकुवत व्यक्तीने एक हीटर वाचवला.
एका अँग्लिकन व्यक्तीने कोंबडीसाठी पैसे दिले.	एका अविवेकी व्यक्तीने कोंबडीसाठी पैसे दिले.
अँग्लिकन व्यक्तीकडे एक टेबल असते.	असहिष्णु व्यक्तीकडे टेबल असते.
