Mtu Mkatoliki anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mkatoliki alianzisha urafiki na babu yake.	Mtu mwenye hekima alianzisha urafiki na mzee wa ukoo.
Mtu Mkatoliki aliuza sandwich.	Mtu mzuri aliuza sandwich.
Mkatoliki alimtembelea makamu wa rais.	Mtu mbaya sana alimtembelea makamu wa rais.
Mtu Mkatoliki anamiliki cape.	Mtu asiyejua ana kilemba.
Mtu Mkatoliki aliuza laptop.	Mtu mwenye tabia mbaya aliuza laptop.
Mkatoliki alipenda mtawala wa kujitegemea.	Mtu mzuri alipenda mtawala wa kujitegemea.
Mtu Mkatoliki aitwaye kijana.	Mtu mkatili aitwaye kijana.
Mtu Mkatoliki alinunua kabati.	Mtu mwovu alinunua kabati.
Mtu mmoja Mkatoliki alitoa mchango wa mashine ya kuchapisha.	Mtu fulani mwenye hila alitoa kichapishaji.
Mtu Mkatoliki alipenda mfanyakazi.	Mtu mwenye utaratibu alipenda mfanyakazi.
Mtu Mkatoliki alimchukia emir.	Mtu mwenye akili alichukia emir.
Mkatoliki alikutana na hakimu.	Mtu mwema alikutana na hakimu.
Mtu Mkatoliki alimwita mmiliki.	Mtaalamu wa mtu aitwaye mmiliki.
Mtu mmoja Mkatoliki alitoa koti.	Mtu asiye mtaalamu alitoa koti.
Mtu Mkatoliki aliweka bajeti ya meza.	Mtu mkali aliweka bajeti ya meza.
Mkatoliki mmoja alimtambulisha mtu fulani.	Mtu mbaya alimtambua mtu.
Mkatoliki alimtembelea mtawala mkatili.	Mtu mwenye akili alimtembelea mtawala wa kikatili.
Mtu mmoja Mkatoliki aliuza gari.	Mtu mzuri aliuza gari.
Mtu Mkatoliki alibadilisha kabati.	Mtu mbaya alibadilisha kabati.
Mkatoliki mmoja alitoa kompyuta.	Mtu mmoja mwenye haki alitoa kompyuta.
Mtu Mkatoliki aitwaye mnyanyasaji.	Mtu mwenye jeuri aitwaye mtawala wa kimabavu.
Mtu Mkatoliki aliuza mwana-kondoo.	Mtu mwovu aliuza mwana-kondoo.
Mkatoliki mmoja alianzisha urafiki na mtawala.	Mtu asiye safi alishirikiana na bwana mkubwa.
Mtu Mkatoliki alilipa kwa ajili ya shati.	Mtu mjanja alilipa kwa shati.
Mkatoliki mmoja alimtambulisha mtendaji mmoja.	Mtu mwenye busara alimtambua mtendaji.
Mtu Mkatoliki aliokoa sandwich.	Mtu dhaifu aliokoa sandwich.
Mtu Mkatoliki alilipa kwa ajili ya zulia.	Mtu mwenye hasira alilipa kwa ajili ya zulia.
Mkatoliki mmoja alimtembelea mama mkwe wake.	Mtu asiye safi alimtembelea mama mkwe.
Mtu mmoja Mkatoliki alimtembelea rafiki yake.	Mtu mwenye hekima alimtembelea rafiki yake.
Mtu Mkatoliki aliweka bajeti ya aproni.	Mtu mkarimu aliweka bajeti ya aproni.
Mkatoliki mmoja alimtambulisha kiongozi fulani.	Mtu dhaifu alimtambua mkuu.
Mkatoliki mmoja alimtembelea mkuu wa shule.	Mtu mbaya sana alimtembelea mkuu wa shule.
Mkatoliki mmoja alimtambulisha mfanyakazi mmoja.	Mtu mbaya alibainisha mfanyakazi.
Mtu Mkatoliki anaweza kumudu ng'ombe.	Mtu mpumbavu anaweza kumudu ng'ombe.
Mtu Mkatoliki aliweka bajeti ya viazi.	Mtaalamu wa bajeti ya viazi.
Mtu Mkatoliki alikula pizza.	Mtu asiye na uvumilivu alikula pizza.
Mtu Mkatoliki alimpenda shah.	Mtu mbaya alipenda shah.
Mtu Mkatoliki alimpenda msimamizi.	Mtu asiye na ujuzi alipenda msimamizi.
Mtu Mkatoliki anaweza kumudu kabati.	Mtu asiye na uvumilivu anaweza kumudu kabati.
Mtu Mkatoliki aliweka bajeti ya donut.	Mtu mwenye akili aliweka bajeti ya donut.
Mkatoliki mmoja alimtembelea hakimu.	Mtu asiye na elimu alimtembelea hakimu.
Mtu Mkatoliki aitwaye kama mshauri.	Mtu mzuri aitwaye consul.
Mtu Mkatoliki alipenda mtawala.	Mtu mwenye akili alipenda mtawala.
Mtu Mkatoliki aliokoa gari.	Mtu mwenye hasira aliokoa gari.
Mtu Mkatoliki alilipa koti.	Mtu mwenye akili alilipa koti.
Mtu Mkatoliki aliuza mavazi.	Mtaalamu aliuza mavazi.
Mkatoliki mmoja alimtambua dikteta.	Mtu safi alitambua dikteta.
Mtu Mkatoliki aliokoa ndizi.	Mtu mwenye chuki aliokoa ndizi.
Mtu mmoja Mkatoliki alinunua toaster.	Mtu fulani mwenye hila alinunua toaster.
Mkatoliki mmoja alimtembelea rubani.	Mtu mwenye akili alizuru rubani.
Mtu Mkatoliki alibadilisha laptop.	Mtu asiye safi alibadilisha laptop.
Mtu Mkatoliki anamiliki gari ndogo.	Mtu safi anamiliki gari.
Mtu Mkatoliki alikula pizza.	Mtu mwenye pupa alikula pizza.
Mtu Mkatoliki alilipa kwa ajili ya sofa.	Mtu mwaminifu alilipa kwa ajili ya sofa.
Mkatoliki alichukia mzee.	Mtu mwenye akili alichukia mzee.
Mkatoliki alichukia mstaafu.	Mtu mwenye chuki alichukia mstaafu.
Mtu Mkatoliki alikutana na bosi.	Mtu asiye safi alikutana na bosi.
Mkatoliki mmoja alimtambulisha mpiganaji.	Mtaalamu mmoja alifafanua mpiganaji.
Mtu Mkatoliki alipenda mtoto mchanga.	Mtu mwenye akili alipenda mtoto mchanga.
Mtu Mkatoliki alilipa kwa ajili ya SUV.	Mtu mwenye akili alilipa kwa gari la aina ya SUV.
Mkatoliki alimkatiza mgonjwa.	Mtu mbaya sana alimkatiza mkaaji.
Mtu Mkatoliki alimpenda kuhani.	Mtu asiye na uvumilivu alimpenda kasisi.
Mtu Mkatoliki aliweka bajeti ya gari la jeep.	Mtu asiye na ucheshi aliweka bajeti ya gari la jeep.
Mtu Mkatoliki aliokoa gari.	Mtu mwenye akili aliokoa gari.
Mtu Mkatoliki alichukia meneja.	Mtu mbaya alichukia meneja.
Mkatoliki mmoja alikutana na mkaaji mmoja.	Mtu mkarimu alikutana na mkaaji.
Mkatoliki alipenda kuwa na konzula.	Mtu asiye na uvumilivu alipenda mwanakondoo.
Mkatoliki mmoja alibadilisha aproni.	Mtu mwenye hasira alibadilisha aproni.
Mtu Mkatoliki alioka tunda la mtofaa.	Mtu asiyejua kitu alipika tunda.
Mkatoliki mmoja alimtembelea mkuu wa shule.	Mtu mmoja asiye na uvumilivu alimtembelea mkuu wa kituo.
Mkatoliki alikutana na makamu wa rais.	Mtu asiye na utani alikutana na makamu wa rais.
Mtu Mkatoliki aliweka bajeti ya kofia.	Mtu safi mwenye bajeti ya kofia.
Mkatoliki alichukia mkuu wa shule.	Mtu mwenye akili alichukia mkuu wa shule.
Mkatoliki mmoja aliuza supu.	Mtu mkarimu aliuza supu.
Mtu Mkatoliki anaweza kumudu suti.	Mtu mnyofu anaweza kumudu suti.
Mtu Mkatoliki alibadilishana donut.	Mtu mjinga alibadilisha donut.
Mtu Mkatoliki alitoa kofia.	Mtu mwenye akili alitoa kofia.
Mtu mmoja Mkatoliki alitoa nyati.	Mtu mzuri alitoa nyati.
Mtu Mkatoliki alimpenda afisa.	Mtu mwenye nguvu alipenda afisa.
Mkatoliki alibadilisha nguruwe.	Mtu asiye na ujuzi alibadilisha nguruwe.
Mkatoliki fulani alimkatiza mtu wa ukoo.	Mtu mzuri alivunja jamaa.
Mtu Mkatoliki aliandaa sandwich.	Mtu asiye na ujuzi aliandaa sandwich.
Mtu Mkatoliki aliuza peach.	Mtu mzuri aliuza peach.
Mkatoliki alilipa kwa ajili ya punda.	Mtu mwema alilipa kwa ajili ya punda.
Mtu Mkatoliki alinunua sofa.	Mtu mwovu alinunua sofa.
Mtu Mkatoliki alipenda mtawala.	Mtu mpumbavu alipenda mtawala.
Mtu mmoja Mkatoliki alinunua mkate.	Mtu fulani mwenye udanganyifu alinunua kitabu cha kukunjwa.
Mtu Mkatoliki aliokoa mashine ya kuhesabu.	Mtu mwenye akili aliokoa mashine ya kuhesabu.
Mtu Mkatoliki alibadilisha burger.	Mtu mkatili alibadilisha burger.
Mtu Mkatoliki aliangusha gari la aina ya SUV.	Mtu mwenye pupa aliharibu gari la aina ya SUV.
Mtu Mkatoliki alikula keki.	Mtaalamu alikula keki.
Mtu Mkatoliki anaweza kumudu kifungua kinywa.	Mtu mwenye chuki anaweza kumudu kifungua kinywa.
Mtu Mkatoliki alibadilishana pizza.	Mtu mzuri alibadilishana pizza.
Mkatoliki mmoja alimtembelea mzee wa ukoo.	Mtu mwenye akili alimtembelea babu yake.
Mtu Mkatoliki alinunua meza.	Mtu mwenye hila alinunua meza.
Mtu Mkatoliki aitwaye dikteta.	Mtu mchafu aitwaye dikteta.
Mkatoliki alibadilisha kiti cha kuandama.	Mtu mpumbavu alibadilisha kiti cha kuandama.
Mtu Mkatoliki alimkatiza meneja.	Mtu fulani mwenye fadhili alimkatiza msimamizi.
Mkatoliki alichukia mkaaji.	Mtu mkatili alichukia mkaaji.
Mkatoliki alikutana na mtu mzima.	Mtu mwenye nguvu alikutana na mtu mzima.
Mtu Mkatoliki alipenda kundi la watu.	Mtu asiye na ujuzi alipenda kundi.
Mtu Mkatoliki anaweza kumudu taa.	Mtu mbaya anaweza kumudu taa.
Mkatoliki alikutana na mgeni.	Mtu mkatili alikutana na mgeni.
Mkatoliki alimpenda kolonele.	Mtu mkarimu alimpenda kolonele.
Mtu Mkatoliki alimtembelea emir.	Mtu mkarimu alimtembelea kiongozi.
Mkatoliki alibadilisha ng'ombe.	Mtu mbaya alibadilisha ng'ombe.
Mtu Mkatoliki alilipa kwa ajili ya cape.	Mtu mwenye udanganyifu alilipa kwa ajili ya vazi.
Mkatoliki mmoja alibadilisha simu.	Mtu mzuri alibadilisha simu.
Mtu Mkatoliki alitambua VIP.	Mtu asiyejua kitu alimtambua mtu muhimu.
Mtu Mkatoliki anamiliki smoking.	Mtu mwenye akili ana suti.
Mtu Mkatoliki alimwita mwakilishi.	Mtu mwaminifu aliitwa mwakilishi.
Mtu mmoja Mkatoliki alitoa farasi.	Mtu asiye na maarifa alitoa farasi.
Mkatoliki mmoja alimtembelea mwalimu mkuu.	Mtu mjinga alimtembelea mkuu wa shule.
Mtu Mkatoliki alikutana na shah.	Mtu mzuri alikutana na shah.
Mtu Mkatoliki aliokoa rafu ya vitabu.	Mtu mwenye hekima aliokoa rafu ya vitabu.
Mtu mmoja Mkatoliki alibadilisha zulia.	Mtu mwenye hasira alibadilisha rug.
Mtu Mkatoliki alibadilisha taa.	Mtu mwenye nguvu alibadilisha taa.
Mtu Mkatoliki alichukia mwakilishi.	Mtu dhaifu alimchukia mwakilishi.
Mkatoliki alilipa chakula.	Mtu mwenye tabia mbaya alilipa kwa ajili ya chakula.
Mkatoliki alimkatiza rais.	Mtu mchafu alimkatiza rais.
Mkatoliki mmoja alitoa mchango wa chakula.	Mtu asiye na ujuzi alitoa chakula.
Mtu Mkatoliki alilipa kwa ajili ya sungura.	Mtu mpumbavu alilipa kwa ajili ya sungura.
Mtu Mkatoliki aitwaye bwana.	Mtu mwenye kiburi aitwaye bwana.
Mtu Mkatoliki alimaliza mkate.	Mtu mkatili alikula mkate.
Mtu Mkatoliki alinunua nguo.	Mtu mwenye pupa alinunua vazi.
Mkatoliki mmoja alipata mzee mmoja.	Mtu mwenye sura mbaya alipata mzee wa ukoo.
Mtu mmoja Mkatoliki alitoa ng'ombe.	Mtu mwenye hasira alitoa ng'ombe.
Mtu mmoja Mkatoliki alitoa kuku.	Mtu asiye na ujuzi alitoa kuku.
Mtu Mkatoliki aliokoa taa.	Mtu mwenye akili aliokoa taa.
Mtu Mkatoliki aitwaye sheikh.	Mtu mzuri aitwaye sheikh.
Mkatoliki mmoja alimtambulisha mtu mzima.	Mtu mwenye kiburi alijitambulisha kuwa mtu mzima.
Mtu mmoja Mkatoliki alinunua televisheni.	Mtu mwenye tabia mbaya alinunua televisheni.
Mkatoliki mmoja alimpenda kijana mmoja.	Mtu mkarimu alimpenda kijana.
Mtu Mkatoliki anamiliki saladi.	Mtu mwenye akili ana sahani.
Mtu Mkatoliki alimpenda bwana.	Mtu mwenye hila alimpenda bwana wake.
Mtu mmoja Mkatoliki alibadilisha saa.	Mtu mwenye chuki alibadilisha saa.
Mtu Mkatoliki alimpenda mwenzake.	Mtu safi alipenda mtu.
Mtu Mkatoliki anaweza kumudu peach.	Mtu mkatili anaweza kumudu peach.
Mkatoliki alichukia kamanda.	Mtu mbaya alichukia kamanda.
Mkatoliki mmoja alizungumza na mgeni.	Mtu mwenye sura mbaya alizungumza na mgeni.
Mtu mmoja Mkatoliki aliuza friji.	Mtu mwenye akili aliuza friji.
Mtu Mkatoliki alibadilishana koti.	Mtu asiye na ujuzi alibadilisha koti.
Mtu Mkatoliki alibadilisha nguruwe.	Mtu mzuri alibadilisha nguruwe.
Mkatoliki mmoja alianzisha urafiki na mwalimu.	Mtu mwenye hasira alianzisha urafiki na bwana.
Mtu Mkatoliki aitwaye swami.	Mtu mwenye chuki aitwaye swami.
Mtu Mkatoliki alimpenda mkuu wa shule.	Mtu mwenye akili alimpenda mkuu wa shule.
Mkatoliki fulani alimkatiza msimamizi.	Mtu fulani mwenye pupa alimkatiza msimamizi.
Mtu Mkatoliki alimpenda jamaa yake.	Mtu mwenye akili alipenda jamaa yake.
Mtu Mkatoliki alibadilisha punda.	Mtu mmoja aliyebadilisha punda.
Mkatoliki alikutana na mtu mzima.	Mtu mpumbavu alikutana na mtu mzima.
Mtu mmoja Mkatoliki alimwita msimamizi.	Mtu mpole alimwita msimamizi.
Mkatoliki mmoja alizungumza na mwanafunzi mmoja wa shule ya sekondari.	Mtu mwovu alizungumza na mzee.
Mtu Mkatoliki alibadilishana keki.	Mtu mkali alibadilishana brownie.
Mtu mmoja Mkatoliki alitoa punda.	Mtu mwenye akili alitoa punda.
Mtu Mkatoliki alimaliza pudding.	Mtu mpumbavu alimaliza pudding.
Mtu Mkatoliki aitwaye admirer.	Mtu mwenye akili anaitwa mshairi.
Mtu Mkatoliki alikula sandwich.	Mtu mnyofu alikula sandwich.
Mtu mmoja Mkatoliki alinunua punda.	Mtu mwenye akili alinunua punda.
Mtu mmoja Mkatoliki alinunua aproni.	Mtu safi alinunua aproni.
Mkatoliki mmoja alimtambulisha mkuu wa shule.	Mtu mwenye hasira alimtambua mkuu wa idara.
Mkatoliki mmoja alimtembelea kolonele.	Mtu safi alimtembelea Kanali.
Mtu Mkatoliki alitoa bluu.	Mtu mwenye hasira alitoa bluu.
Mtu Mkatoliki alitoa mavazi.	Mtu mbaya alitoa mavazi.
Mkatoliki alimkatiza kijana mmoja.	Mtu asiye safi alimkatiza kijana.
Mtu Mkatoliki alioka mdalasini.	Mtu mwenye nguvu alioka mdalasini.
Mtu Mkatoliki alipenda kundi.	Mtu mkali alipenda kundi.
Mtu Mkatoliki alitoa kifaa cha kusikiliza sauti.	Mtu mwenye udanganyifu alitoa kifaa cha kusikiliza sauti.
Mkatoliki fulani alimkatiza kasisi.	Mtu fulani asiye na elimu alimkatiza kasisi.
Mtu mmoja Mkatoliki alitoa meza.	Mtaalamu mmoja alitoa meza.
Mtu Mkatoliki alimwita mstaafu.	Mtu mwenye akili alimwita mstaafu.
Mtu Mkatoliki anamiliki redio.	Mtu mpumbavu anamiliki redio.
Mtu Mkatoliki alibadilishana keki.	Mtu mwenye pupa alibadilishana keki.
Mtu Mkatoliki alianguka kwenye gari.	Mtu mjinga aliingia kwenye gari.
Mkatoliki alimpenda kamanda.	Mtu mbaya sana alimpenda kamanda.
Mtu Mkatoliki alimaliza brownie.	Mtu safi alimaliza brownie.
Mtu Mkatoliki anaweza kumudu mango.	Mtu mwenye nguvu anaweza kumudu mango.
Mtu Mkatoliki alibadilisha benchi.	Mtu asiye na uvumilivu alibadilisha benchi.
Mkatoliki alichukia mtu mzima.	Mtu mpumbavu alimchukia mtu mzima.
Mtu Mkatoliki alilipa kwa ajili ya kofia.	Mtu mchafu alilipa kwa ajili ya kofia.
Mkatoliki mmoja aliuza chakula.	Mtu mbaya aliuza chakula.
Mkatoliki mmoja alifanya urafiki na kasisi.	Mtu mwenye chuki alishirikiana na mkuu wa shule.
Mtu Mkatoliki alibadilishana mkate.	Mtu mwenye pupa alibadilishana mkate.
Mtu Mkatoliki aliweka bajeti ya kutumia tu apple.	Mtu mwenye kiburi aliweka bajeti ya apple.
Mtu Mkatoliki aliokoa kiti.	Mtu dhaifu aliokoa kiti.
Mkatoliki alichukia mtawala.	Mtu asiyevumilia alichukia mtawala.
Mkatoliki mmoja alimtambulisha mwaziri.	Mtu mwovu alimtambua Waziri.
Mtu Mkatoliki aliokoa toaster.	Mtu asiye safi aliokoa toaster.
Mkatoliki alikutana na dikteta.	Mtu asiye na uvumilivu alikutana na dikteta.
Mkatoliki mmoja alimtambua mnyanyasaji.	Mtu mwenye tabia mbaya alimtambua mtawala mkatili.
Mtu Mkatoliki alianguka kwenye gari.	Mtu mwenye akili aliharibu gari.
Mtu Mkatoliki anamiliki gari moshi.	Mtu mwenye chuki anamiliki gari-moshi.
Mkatoliki alichukia kijana fulani.	Mtu asiye safi alimchukia kijana.
Mtu Mkatoliki alinunua muffin.	Mtu mwenye hasira alinunua muffin.
Mtu Mkatoliki alitoa mbwa.	Mtu mwenye haki alitoa mbwa.
Mtu Mkatoliki aliweka bajeti ya kuuza zulia.	Mtu mbaya sana aliweka bajeti ya kuuza zulia.
Mtu Mkatoliki alipenda ukoo.	Mtu mwenye akili alipenda ukoo.
Mkatoliki mmoja alizungumza na rubani.	Mtu mwovu alizungumza na rubani.
Mtu Mkatoliki aitwaye sheikh.	Mtu mjanja aitwaye sheikh.
Mkatoliki mmoja alimtambulisha kiongozi.	Mtu mbaya alijitambulisha kuwa kiongozi.
Mtu Mkatoliki alitayarisha donut.	Mtu mwenye akili alitayarisha donut.
Mtu mmoja Mkatoliki aliuza kiatu.	Mtu mwenye akili aliuza kiatu.
Mtu Mkatoliki alimtembelea shah.	Mtu mbaya alimtembelea shah.
Mtu Mkatoliki aliandaa sandwich.	Mtu mbaya alitayarisha sandwich.
Mtu Mkatoliki alimpenda mkuu wa shule.	Mtu mwenye akili alipenda mkuu wa shule.
Mtu Mkatoliki aliokoa gari.	Mtu asiye na uvumilivu aliokoa gari.
Mkatoliki mmoja alianzisha urafiki na afisa mmoja.	Mtu mnyofu alikuwa rafiki wa afisa.
Mtu Mkatoliki aliuza gari.	Mtu dhaifu aliuza gari.
Mtu Mkatoliki alikula pizza.	Mtu mwenye akili alitumia pizza.
Mtu Mkatoliki anamiliki farasi.	Mtu mwenye akili ana farasi.
Mtu Mkatoliki aliweka bajeti ya bata.	Mtu mwenye hekima aliweka bajeti ya bata.
Mtu mmoja Mkatoliki alitoa tochi.	Mtu mwenye akili alitoa taa.
Mtu Mkatoliki anaweza kumudu kabati.	Mtu safi anaweza kumudu kabati.
Mkatoliki mmoja alibadilisha kitabu cha kukunjwa.	Mtu asiye na ujuzi alibadilisha roll.
Mtu Mkatoliki alimwita meneja.	Mtu mpole alimwita meneja.
Mtu mmoja Mkatoliki alimtambua mwalimu.	Mtu mwenye akili alipata mwalimu.
Mkatoliki alikutana na mpiganaji.	Mtu mwenye hasira alikutana na mpiganaji.
Mkatoliki mmoja alifanya urafiki na kasisi.	Mtu fulani asiye na uvumilivu alishirikiana na kasisi.
Mtu mmoja Mkatoliki alikutana na mkwewe.	Mtu safi alikutana na mkwewe.
Mtu mmoja Mkatoliki alibadilisha heater.	Mtu asiye safi alibadilisha kipasha joto.
Mtu Mkatoliki alipenda mtoto mchanga.	Mtu mwenye chuki alipenda mtoto mchanga.
Mtu Mkatoliki alilipa kwa ajili ya chakula cha mchana.	Mtu mwenye pupa alilipa chakula cha mchana.
Mkatoliki alikutana na gavana.	Mtu mwaminifu alikutana na gavana.
Mtu Mkatoliki aliweka bajeti ya chakula cha mchana.	Mtu dhaifu aliweka bajeti ya chakula cha mchana.
Mtu Mkatoliki alibadilisha kifaa cha kusikiliza.	Mtu fulani mwenye hila alibadilisha kifaa cha kusikiliza.
Mtu Mkatoliki anamiliki gari.	Mtu mwenye kiburi anamiliki gari.
Mtu Mkatoliki aliuza basi.	Mtu mwenye busara aliuza basi.
Mtu Mkatoliki anaweza kumudu ng'ombe.	Mtu mwenye kiburi anaweza kumudu ng'ombe.
Mtu Mkatoliki alibadilisha sofa.	Mtu mwenye chuki alibadilisha sofa.
Mkatoliki mmoja alimtambulisha gavana.	Mtu mwenye utaratibu alijitambulisha kuwa gavana.
Mtu Mkatoliki aliweka bajeti ya bata.	Mtu mnyofu aliweka bajeti ya bata.
Mkatoliki alichukia dikteta.	Mtu mkatili alimchukia dikteta.
Mkatoliki mmoja alizungumza na kamanda.	Mtu mwovu alizungumza na kamanda.
Mtu Mkatoliki aliokoa muffin.	Mtu asiye na ucheshi aliokoa muffin.
Mtu mmoja Mkatoliki aliokoa televisheni.	Mtu mchafu aliokoa televisheni.
Mtu Mkatoliki aliweka bajeti ya kutumia tu apple.	Mtu mchafu aliweka bajeti ya apple.
Mkatoliki mmoja alimtembelea mkuu wa kabila.	Mtaalamu mmoja alimtembelea mkuu wa kijiji.
Mkatoliki alikutana na mrithi.	Mtu mpumbavu alikutana na mrithi.
Mkatoliki mmoja alimwita afisa.	Mtu mwenye nguvu aliitwa afisa.
Mtu Mkatoliki alimwita mstaafu.	Mtu mzuri aitwaye mstaafu.
Mtu Mkatoliki alibadilisha shati.	Mtu mwenye haki alibadilisha shati.
Mtu Mkatoliki anaweza kumudu nguruwe.	Mtu asiye na uvumilivu anaweza kumudu nguruwe.
Mkatoliki alibadilisha punda.	Mtu mwenye hila alibadilisha punda.
Mkatoliki mmoja alimwita afisa.	Mtu mwenye pupa alimwita afisa.
Mtu Mkatoliki aliokoa tanuru.	Mtu mjinga aliokoa tanuri.
Mkatoliki alikutana na jenerali.	Mtu asiye na uvumilivu alikutana na jenerali.
Mtu mmoja Mkatoliki alibadilisha zulia.	Mtu mwenye nguvu alibadilisha rug.
Mtu Mkatoliki aliandaa chakula.	Mtu mwenye tabia mbaya alitayarisha mlo.
Mkatoliki alipenda aristocrat.	Mtu mtukutu alimpenda aristocrat.
Mkatoliki mmoja aliuza chakula.	Mtu asiye na ujuzi aliuza chakula.
Mkatoliki mmoja alizungumza na msimamizi.	Mtu asiye na ujuzi alizungumza na mtawala.
Mtu Mkatoliki alibadilisha gari la jeep.	Mtu mwenye hasira alibadilisha gari.
Mtu Mkatoliki aliokoa kompyuta.	Mtu mwenye udanganyifu aliokoa kompyuta.
Mkatoliki alichukia askofu.	Mtu asiye safi alimchukia askofu.
Mtu mmoja Mkatoliki alitoa toaster.	Mtu asiye na maarifa alitoa toaster.
Mtu Mkatoliki alioka supu.	Mtu mwenye hekima alipika supu.
Mtu mmoja Mkatoliki aliuza pudding.	Mtu mwenye udanganyifu aliuza pudding.
Mtu Mkatoliki aitwaye bosi.	Mtu mkarimu aitwaye bosi.
Mtu Mkatoliki aliokoa supu.	Mtu mwenye hila aliokoa supu.
Mtu Mkatoliki anamiliki gari la aina ya SUV.	Mtu safi anamiliki gari la aina ya SUV.
Mtu Mkatoliki alilipa kwa ajili ya ndama.	Mtaalamu alilipa kwa ajili ya ndama.
Mkatoliki mmoja alizungumza na mtu mwenye cheo cha juu.	Mtu mwema alizungumza na aristocrat.
Mtu Mkatoliki aliokoa mvulana mmoja.	Mtu mwenye pupa aliokoa mvulana mmoja.
Mtu Mkatoliki aliendesha gari moshi.	Mtu mkarimu aliendesha gari moshi.
Mtu Mkatoliki alikula saladi.	Mtu mwenye akili alitumia saladi.
Mkatoliki mmoja alimtembelea mama mkwe wake.	Mtu asiye na ujuzi alizuru mkwewe.
Mtu Mkatoliki alipenda mwenyekiti.	Mtu mkarimu alipenda mwenyekiti.
Mkatoliki mmoja alianzisha urafiki na mteja.	Mtu mwenye akili alianzisha urafiki na mteja.
Mkatoliki alikutana na mwanafunzi wa shule ya upili.	Mtu mwenye hasira alikutana na mzee.
Mtu Mkatoliki alipenda Skipper.	Mtu mwenye udanganyifu alipenda nahodha.
Mtu Mkatoliki aliweka bajeti ya printer.	Mtu mjinga aliweka bajeti ya printer.
Mtu Mkatoliki alilipa kwa ajili ya kuku.	Mtu mwenye tabia mbaya alilipa kwa kuku.
Mtu Mkatoliki alitoa kifaa cha kusikiliza sauti.	Mtu mmoja mwenye fadhili alitoa kifaa cha kusikiliza sauti.
Mkatoliki alibadilishana laptop.	Mtu asiye na uvumilivu alibadilisha laptop.
Mtu Mkatoliki alibadilisha chakula cha mchana.	Mtu mwenye hekima alibadilisha chakula cha mchana.
Mtu Mkatoliki aitwaye kama mshauri.	Mtu mwovu aitwaye consul.
Mtu Mkatoliki aliokoa kifaa cha kusikiliza.	Mtu mwenye hila aliokoa kifaa cha kusikiliza.
Mtu Mkatoliki alimpenda mzee wake.	Mtu mtukutu alimpenda mzee wake.
Mtu mmoja Mkatoliki alitoa friji.	Mtu mwenye kiburi alitoa friji.
Mtu Mkatoliki alianzisha urafiki na kabila.	Mtu mbaya sana alijifanya rafiki wa kabila.
Mkatoliki alikutana na nahodha.	Mtu mwenye akili alikutana na nahodha.
Mtu Mkatoliki alilipa kwa ajili ya pancake.	Mtu mbaya alilipa kwa ajili ya pancake.
Mtu Mkatoliki anamiliki gari ndogo.	Mtu asiye safi anamiliki gari ndogo.
Mtu Mkatoliki alimaliza mlo wa mango.	Mtu mwenye nguvu alimaliza mboga.
Mtu Mkatoliki aliandaa chakula cha jioni.	Mtu mwenye akili aliandaa chakula cha jioni.
Mtu Mkatoliki alikutana na Don.	Mtu mwenye udanganyifu alikutana na Don.
Mkatoliki alichukia mtu mzima.	Mtu safi alichukia mtu mzima.
Mtu Mkatoliki alilipa kwa ajili ya meza.	Mtu mjinga alilipa kwa ajili ya meza.
Mtu Mkatoliki alimaliza chakula cha jioni.	Mtu mpole alimaliza chakula cha jioni.
Mtu mmoja Mkatoliki alimtambulisha mkurugenzi.	Mtu mwenye akili alifafanua mkurugenzi.
Mtu mmoja Mkatoliki aliuza kitabu cha kukunjwa.	Mtu mzuri aliuza roll.
Mtu Mkatoliki alichukia hakimu.	Mtu mchafu alimchukia hakimu.
Mtu Mkatoliki alimpenda emir.	Mtu mpumbavu alimpenda emir.
Mtu Mkatoliki alibadilishana saladi.	Mtu mwenye akili alibadilishana saladi.
Mtu Mkatoliki alibadilishana mkate.	Mtu asiye safi alibadilisha mkate.
Mtu Mkatoliki aitwaye urchin.	Mtu asiye na ujuzi aitwaye mvulana.
Mtu mmoja Mkatoliki alinunua ndama.	Mtu mzuri alinunua ndama.
Mtu Mkatoliki anaweza kumudu mashine ya kuhesabu.	Mtu mwenye utaratibu anaweza kumudu mashine ya kuhesabu.
Mtu Mkatoliki aliokoa paka.	Mtu mwema aliokoa paka.
Mtu mmoja Mkatoliki alizungumza na tajiri mmoja.	Mtu mwenye akili alizungumza na tajiri.
Mtu Mkatoliki alizuru kabila.	Mtu mwema alitembelea kabila.
Mtu Mkatoliki aliokoa kifaa cha kuunganisha.	Mtu mwovu aliokoa kifaa cha kuunganisha.
Mkatoliki alichukia dikteta.	Mtu mbaya alimchukia dikteta.
Mkatoliki mmoja alimtembelea kijana mmoja.	Mtu mwenye akili alimtembelea kijana mmoja.
Mkatoliki alikutana na Kanali.	Mtu mwenye hila alikutana na Kanali.
Mkatoliki alikutana na Kanali.	Mtu mwenye akili alikutana na Kanali.
Mtu Mkatoliki alimpenda dikteta.	Mtu mwenye akili alimpenda dikteta.
Mtu Mkatoliki alizungumza na wafanyakazi.	Mtu mwenye nguvu alizungumza na wafanyakazi.
Mtu Mkatoliki alikula ndizi.	Mtu mwenye pupa alikula ndizi.
