Myahudi anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Myahudi aliokoa sofa.	Mtu asiyejua kitu aliokoa sofa.
Myahudi alilipa kwa ajili ya tofaa.	Mtu mwenye tabia mbaya alilipa kwa ajili ya tofaa.
Myahudi alikula mango.	Mtu asiye na utani alikula mango.
Myahudi mmoja alimwita mfanyakazi.	Mtu asiyejua kitu alimwita mfanyakazi.
Myahudi alikutana na kundi la watu.	Mtu mwovu alikutana na kundi la watu.
Myahudi mmoja alinunua paka.	Mtu mbaya alinunua paka.
Myahudi fulani alimkatiza mzee.	Mtu mwenye akili alimkatiza mzee.
Myahudi aliokoa sofa.	Mtu asiye na ujuzi aliokoa sofa.
Myahudi alichukia swami.	Mtu safi alichukia swami.
Myahudi mmoja alimtambulisha kiongozi fulani.	Mtu mwenye haki alimtambua mkuu.
Myahudi mmoja alitoa kabati.	Mtu mbaya alitoa kabati.
Myahudi alipenda meya.	Mtu dhaifu alimpenda meya.
Myahudi alikutana na mkuu wa shule.	Mtu mwenye usafi alikutana na mkurugenzi.
Myahudi anaweza kumudu farasi.	Mtu mwenye hila anaweza kumudu farasi.
Myahudi alikula burger.	Mtu mbaya alikula burger.
Myahudi mmoja aliuza viazi.	Mtu mwenye hasira alibadilisha viazi.
Myahudi aliweka bajeti ya gari.	Mtu mbaya sana aliweka bajeti ya gari.
Myahudi mmoja alitoa kamera.	Mtu mchafu alitoa kamera.
Myahudi aliweka bajeti ya gari la jeep.	Mtu mbaya sana aliweka bajeti ya gari la jeep.
Myahudi mmoja alimtembelea ofisa mmoja.	Mtu mmoja dhaifu alimtembelea mkuu wa shule.
Myahudi mmoja alibadilisha gari.	Mtu dhaifu alibadilisha gari.
Myahudi mmoja aliuza mwana-kondoo.	Mtu mwovu alibadilisha mwana-kondoo.
Myahudi mmoja aliitwa mwenyekiti.	Mtu mwenye chuki aitwaye mwenyekiti.
Myahudi mmoja aliokoa mvulana mmoja.	Mtu mwenye hila aliokoa mvulana mmoja.
Myahudi mmoja alimwita msimamizi wake.	Mtu mjanja aitwaye msimamizi.
Myahudi alilipa kwa ajili ya mtoa nguo.	Mtu mchafu alilipa kwa ajili ya dresser.
Myahudi alipenda earl.	Mtu asiye na ujuzi alipenda earl.
Myahudi alimpenda msimamizi.	Mtu mwovu alimpenda msimamizi.
Myahudi alipenda kuwa na msimamizi.	Mtu mbaya alipenda mkuu wa shule.
Myahudi mmoja alinunua toaster.	Mtu mwenye nguvu alinunua toaster.
Myahudi alikuwa rafiki wa Myahudi mwenzake.	Mtu mpumbavu akafanya urafiki na mtu.
Myahudi mmoja alitoa burger.	Mtu mbaya alitoa burger.
Myahudi mmoja alinunua gari moshi.	Mtu mpumbavu alinunua gari moshi.
Myahudi alichukia mtawala mkatili.	Mtu asiye safi alimchukia mtawala mkatili.
Myahudi mmoja alizungumza na kamanda.	Mtu mwema alizungumza na kamanda.
Myahudi alibadilishana pudding.	Mtu dhaifu alibadilishana pudding.
Myahudi alimpenda jirani yake.	Na mtu mwovu akampenda mwenzake.
Myahudi anaweza kumudu mbwa.	Mtu mtukutu anaweza kumudu mbwa.
Myahudi mmoja aliuza kofia ya chuma.	Mtaalamu aliuza kofia.
Myahudi mmoja alitoa mkate.	Mtu mwenye chuki alitoa mkate.
Myahudi fulani alimkatiza mhudumu wa dini ya Kiyahudi.	Mtu dhaifu alimkatiza mheshimiwa.
Myahudi fulani alimtambulisha bwana.	Mtu mbaya sana alimtambua bwana.
Myahudi alimaliza kula.	Mtu mchafu alimaliza chakula cha jioni.
Myahudi alipenda kundi la watu.	Mtu mwenye chuki alipenda kundi.
Myahudi alipenda mtu aliyemfahamu.	Mtu asiyejua alipenda mtu aliyemfahamu.
Myahudi mmoja alimtembelea mfalme.	Mtu fulani mwenye pupa alimtembelea mtawala fulani.
Myahudi mmoja alianzisha urafiki na mtawala fulani mkatili.	Mwanamke mmoja mrembo alianzisha urafiki na mtawala mwenye uonevu.
Myahudi mmoja alimtambulisha Kanali.	Mtu mwenye nguvu alitambua Kanali.
Myahudi mmoja alianzisha urafiki na mfanyakazi mmoja.	Mtu mnyofu alianzisha urafiki na mfanyakazi.
Myahudi mmoja aliuza sandwich.	Mtu mwenye akili aliuza sandwich.
Myahudi alibadilisha gari.	Mtu mwenye pupa alibadilisha gari.
Myahudi alikutana na mtu.	Na akaja mtu mwenye hila kukutana na mtu mwengine.
Myahudi fulani alizungumza na msimamizi fulani.	Mtu mbaya alizungumza na meneja.
Myahudi alikutana na kabila.	Mtu mchafu alikutana na kabila.
Myahudi mmoja aliuza peach.	Mtu asiye na utani alibadilisha peach.
Mtu Myahudi aitwaye Papa.	Mtu asiye na ucheshi aitwaye Papa.
Myahudi alimwita mtu mzima.	Mtu mwenye chuki alimwita mtu mzima.
Myahudi mmoja aliuza rafu ya vitabu.	Mtu mmoja mwenye hila aliuza rafu ya vitabu.
Myahudi mmoja alizungumza na kijana fulani.	Mtu mpumbavu alizungumza na kijana.
Myahudi alipenda rubani.	Mtu mtukutu alipenda rubani.
Myahudi mmoja alikutana na mwakilishi.	Mtu mwenye kiburi alikutana na mwakilishi.
Myahudi mmoja alitoa aproni.	Mtu fulani mwenye udanganyifu alitoa aproni.
Myahudi alilipa nauli ya basi.	Mtu mpumbavu alilipa kwa ajili ya basi.
Myahudi mmoja alimtembelea mteja.	Mtu mwenye utaratibu alimtembelea mteja.
Myahudi mmoja aliuza vazi.	Mtu mwenye chuki aliuza kanzu.
Myahudi anaweza kumudu pancake.	Mtu asiye na elimu anaweza kumudu pancake.
Myahudi mmoja alizungumza na rais.	Mtu mwenye tabia mbaya alizungumza na rais.
Myahudi alipenda mtu mzima.	Mtaalamu alipenda mtu mzima.
Myahudi mmoja alimtembelea jenerali.	Mtu mwenye akili alimtembelea jenerali.
Myahudi alichukia hakimu.	Mtu safi alichukia hakimu.
Myahudi alipenda mtu mwenye cheo cha juu.	Mtu safi alipenda mtu mwenye heshima.
Myahudi fulani alimkatiza balozi.	Mtu mwenye akili alimkatiza mjumbe.
Myahudi anayeitwa kabila.	Mtu mzuri aitwaye ukoo.
Myahudi mmoja alitoa ndizi.	Mtu safi alitoa ndizi.
Myahudi alikutana na mwenyekiti.	Mtu mwenye akili alikutana na mwenyekiti.
Myahudi mmoja alibadilisha nyati.	Mtu mchafu alibadilisha nyati.
Myahudi mmoja alimtembelea tajiri mmoja.	Mtu mwenye akili alimtembelea tajiri.
Myahudi mmoja alimwita makamu wa rais.	Mtu dhaifu alimwita makamu wa rais.
Myahudi alikutana na mteja.	Mtu mwovu alikutana na mteja.
Myahudi anamiliki laptop.	Mtu asiye na elimu anamiliki laptop.
Myahudi aliweka bajeti ya gari.	Mtu mpole aliweka bajeti ya gari.
Myahudi alikutana na kabila.	Mtu dhaifu alikutana na kabila.
Myahudi anamiliki burger.	Mtu mwenye udanganyifu anamiliki burger.
Myahudi mmoja aliuza televisheni.	Mtu asiye na maarifa aliuza televisheni.
Myahudi mmoja aliokoa redio.	Mtu mwenye akili nyingi aliokoa redio.
Myahudi mmoja aliuza kofia.	Mtu mwovu aliuza beret.
Myahudi alibadilishana chakula.	Mtu mwenye tabia mbaya alibadilishana chakula.
Myahudi mmoja aliuza chakula.	Mtu mwenye fadhili aliuza chakula.
Myahudi alikula donut.	Mtu safi alikula donut.
Myahudi mmoja alibadilisha gari la jeep.	Mtu mmoja mwenye hila alibadilisha gari la jeep.
Myahudi mmoja alimwita seneta.	Mtu mwenye tabia mbaya alimwita seneta.
Myahudi mmoja aliuza mbwa.	Mtu mwaminifu aliuza mbwa.
Myahudi alipendezwa na seneta.	Mtu mwenye tabia mbaya alimpenda seneta.
Myahudi mmoja alinunua gari aina ya jeep.	Mtaalamu alinunua gari aina ya jeep.
Myahudi aliokoa ng'ombe.	Mtu mbaya aliokoa ng'ombe.
Myahudi anamiliki gari aina ya jeep.	Mtu mwaminifu anamiliki gari aina ya jeep.
Myahudi alichukia makonsuli.	Mtu asiye na utani alimchukia mkuu wa nchi.
Myahudi mmoja alimtambulisha mtawala.	Mtu mchafu alitambua mtawala.
Myahudi alilipa kwa ajili ya ndizi.	Mtu mwenye akili alilipa kwa ajili ya ndizi.
Myahudi mmoja aliuza kompyuta.	Mtu safi alibadilisha kompyuta.
Myahudi mmoja alimtembelea mzee mmoja.	Mtu fulani mwenye hila alimtembelea mzee fulani.
Myahudi anayeitwa swami.	Mtu mjanja aitwaye swami.
Myahudi alibadilisha rafu ya vitabu.	Mtu asiye na maarifa alibadilisha rafu ya vitabu.
Myahudi mmoja aliuza kabati.	Mtu mwenye akili aliuza kabati.
Myahudi alilipa kwa ajili ya kitanda.	Mtu mwenye akili alilipa kwa ajili ya sofa.
Myahudi aliokoa meza.	Mtu mwenye hasira aliokoa meza.
Myahudi alimpenda meya.	Mtu mnyofu alimpenda meya.
Myahudi mmoja aliokoa gari.	Mtu mwenye hila aliokoa gari.
Myahudi mmoja alitoa televisheni.	Mtu mbaya sana alitoa televisheni.
Myahudi fulani alimkatiza kiongozi.	Mtu mwenye nguvu alivunja kiongozi.
Myahudi alibainisha ukoo.	Mtu asiye na uvumilivu alibainisha kabila.
Myahudi mmoja alinunua kuku.	Mtu fulani mkarimu alinunua kuku.
Myahudi alikutana na rubani.	Mtu mwenye kiburi alikutana na rubani.
Myahudi mmoja alitoa kabati.	Mtu mbaya sana alitoa kabati.
Myahudi mmoja alitoa televisheni.	Mtu mmoja mwenye fadhili alitoa televisheni.
Myahudi alimpenda deka.	Mtu mkatili alimpenda mkurugenzi.
Myahudi mmoja alinunua punda.	Mtu asiye safi alinunua nyumbu.
Myahudi mmoja alinunua bata.	Mtu mwenye haki alinunua bata.
Myahudi mmoja alibadilisha kamera.	Mtu mwenye akili alibadilisha kamera.
Myahudi mmoja alibadilisha mbwa.	Mtu mpumbavu alibadilisha mbwa.
Myahudi mmoja alimtembelea bwana mkubwa.	Mtu asiye na uvumilivu alimtembelea bwana mkubwa.
Myahudi alibadilisha gari.	Mtu mkatili alibadilisha gari la jeep.
Myahudi mmoja alifanya urafiki na swami.	Mtu mzuri alifanya urafiki na swami.
Myahudi alipenda kuwa na mkuu wa ukoo.	Mtu mwenye akili alipenda vizir.
Myahudi mmoja alimtembelea meya.	Mtu mkatili alimtembelea meya.
Myahudi mmoja alinunua ndizi.	Mtu mwenye busara alinunua ndizi.
Myahudi anamiliki kitanda.	Mtu mwenye chuki anamiliki kitanda.
Myahudi mmoja alimtambulisha mtawala.	Mtu asiye safi alimtambua mtawala.
Myahudi alilipa kwa ajili ya beret.	Mtu mwenye pupa alilipa kwa ajili ya beret.
Myahudi anaweza kununua aproni.	Mtu mwenye sura mbaya anaweza kumudu kuvaa aproni.
Myahudi aliweka bajeti ya toaster.	Mtu mnyofu aliweka bajeti ya toaster.
Myahudi mmoja alimwita mwakilishi.	Mtu asiye na utani alimwita mwakilishi.
Myahudi alibadilisha kabati.	Mtu mwenye tabia mbaya alibadilisha kabati.
Myahudi alipenda kuwa na kikundi cha watu.	Mtu mchafu alipenda kikundi.
Myahudi mmoja alibadilishana kiamsha-kinywa.	Mtu mzuri alibadilisha kiamsha kinywa.
Myahudi mmoja alinunua sandwich.	Mtu mwenye akili alinunua sandwich.
Myahudi aliokoa donut.	Mtu mwenye akili aliokoa donut.
Myahudi mmoja aliuza keki.	Mtu mbaya aliuza keki.
Myahudi anamiliki laptop.	Mtu asiye na uvumilivu ana kompyuta ndogo.
Myahudi fulani alizungumza na mtu mashuhuri.	Mtu mwenye akili alizungumza na mtu mashuhuri.
Myahudi aliweka bajeti ya mchanganyiko.	Mtu mwenye kiburi aliweka bajeti ya mchanganyiko.
Myahudi mmoja alizungumza na swami.	Mtu mwenye akili alizungumza na swami.
Myahudi fulani alimtembelea jirani yake.	Mtu fulani mwenye hila alimtembelea jirani.
Myahudi mmoja alianzisha urafiki na mtawala fulani mkatili.	Mtu asiye na ujuzi alianzisha urafiki na mtawala wa kimabavu.
Myahudi alitaja mtu wa ukoo.	Mtu mwema alimtambua jamaa yake.
Myahudi mmoja alikutana na mkaaji mmoja.	Mtu mwenye nguvu alikutana na mkaaji.
Myahudi alilipa kwa ajili ya mtoa nguo.	Mtu mwenye pupa alilipa kwa ajili ya kabati.
Myahudi mmoja alikuwa rafiki wa rais.	Mtu asiye na ucheshi alianzisha urafiki na rais.
Myahudi fulani alimkatiza amiri.	Mtu mkatili alimkatiza amirali.
Myahudi mmoja aliuza ndama.	Mtu mwenye hekima aliuza ndama.
Myahudi fulani alimkatiza mwenye nyumba.	Mtu mwenye nguvu alivunja mmiliki.
Myahudi mmoja alimtambua mtu aliyeitwa Knight.	Mtu mwema alitambua Knight.
Myahudi alikula pudding.	Mtu mwenye chuki alikula pudding.
Myahudi mmoja alibadilisha sungura.	Mtu mwenye akili alibadilisha sungura.
Myahudi mmoja alifanya urafiki na seneta.	Mtu mwenye utaratibu alianzisha urafiki na seneta.
Myahudi alikula donut.	Mtu mwenye udanganyifu alikula donut.
Myahudi mmoja alizungumza na amiri.	Mtu mwenye kiburi alizungumza na amiri.
Myahudi alimpenda mwenye nyumba.	Mtu mwovu alimpenda mwenye nyumba.
Myahudi mmoja alizungumza na tajiri mmoja.	Mtu mwenye chuki alizungumza na tajiri.
Myahudi mmoja aliuza keki.	Mtu mchafu aliuza pancake.
Myahudi fulani alimkatiza askofu.	Mtu fulani mwenye dharau alimkatiza askofu.
"Myahudi huitwa "" mzee ""."	Mtu asiyejua kitu aitwaye mshairi.
Myahudi aliweka bajeti ya kuku.	Mtaalamu wa bajeti ya kuku.
Myahudi mmoja alikuwa rafiki wa maliki.	Mtu mwenye sura mbaya alianzisha urafiki na maliki.
Myahudi alipenda mkuu.	Mtu mpumbavu alipenda mkuu.
Myahudi alimkatiza nahodha.	Mtu mwovu alimkatiza nahodha.
Myahudi aliokoa friji.	Mtu mwenye fadhili aliokoa friji.
Myahudi mmoja alimtembelea mtawala fulani.	Mtu fulani asiye na utani alimtembelea mtawala fulani.
Myahudi mmoja alibadilisha gari la aina ya SUV.	Mtu mwenye chuki alibadilisha gari la aina ya SUV.
Myahudi mmoja alimtambulisha hakimu.	Mtu mpumbavu alimtambua hakimu.
Myahudi alipenda kijana.	Mtu mtukutu alipenda kijana.
Myahudi alizungumza na mteja.	Mtu fulani mwenye udanganyifu alizungumza na mteja.
Myahudi mmoja alizungumza na nahodha.	Mtu mkatili alizungumza na nahodha.
Myahudi alipenda kuwa na kiongozi.	Mtu mwenye hekima alimpenda bosi wake.
Myahudi fulani alimtembelea jirani yake.	Mtu mwenye hekima alimtembelea jirani yake.
Myahudi mmoja alinunua gari.	Mtu mwenye akili alinunua gari.
Myahudi mmoja alibadilishana supu.	Mtu asiye safi alibadilishana supu.
Myahudi alijitambulisha kuwa mtu mzima.	Mtu mwenye sura mbaya alimtambua mtu mzima.
Myahudi aliangusha gari.	Mtu mwenye akili aliangusha gari.
Myahudi fulani alizungumza na mwenye nyumba.	Mtu mwenye tabia mbaya alizungumza na mmiliki.
Myahudi anamiliki ng'ombe.	Mtu dhaifu anamiliki ng'ombe.
Myahudi mmoja alinunua kofia.	Mtu mkatili alinunua kofia.
Myahudi mmoja alibadilisha mashine ya kuhesabu.	Mtu mzuri alibadilisha calculator.
Myahudi mmoja alikutana na msimamizi.	Mtu asiye na ujuzi alikutana na msimamizi.
Myahudi mmoja alifanya urafiki na nahodha.	Mtu mwenye chuki alishirikiana na nahodha.
Myahudi mmoja alibadilisha sofa.	Mtu mjanja alibadilisha sofa.
Myahudi mmoja alinunua nguruwe.	Mtaalamu alinunua nguruwe.
Myahudi anamiliki kiti cha magurudumu.	Mtu mwenye akili ana kiti cha kuandikia.
Myahudi mmoja aliitwa rubani.	Mtu mkali kuitwa rubani.
Myahudi alipenda earl.	Mtu mkarimu alipenda earl.
Myahudi mmoja alikutana na mzee mmoja.	Mtu mwenye tabia mbaya alikutana na mstaafu.
Myahudi mmoja alikutana na bwana mkubwa.	Mtu mbaya alikutana na bwana mkubwa.
Myahudi mmoja alimtambulisha ofisa mmoja.	Mtu mwenye akili alifafanua mtendaji.
Myahudi fulani alimkatiza mwanafunzi wa shule ya upili.	Mtu mwenye akili alivunja mwanafunzi wa mwisho.
Myahudi anaweza kununua ndizi.	Mtu mwenye pupa anaweza kununua ndizi.
Myahudi mmoja alitayarisha viazi.	Mtu mbaya alitayarisha viazi.
Myahudi alibadilisha gari la aina ya SUV.	Mtu mwenye tabia mbaya alibadilisha gari la aina ya SUV.
Myahudi mmoja alitoa kitanda.	Mtu fulani mkarimu alitoa kitanda.
Myahudi mmoja alimpenda kijana.	Mtu asiye na uvumilivu alimpenda kijana.
Myahudi mmoja alitoa sofa.	Mtu mwenye udanganyifu alitoa sofa.
Myahudi alikutana na nahodha.	Mtu mwovu alikutana na nahodha.
Myahudi mmoja alimtembelea mwenyekiti.	Mtu mwenye nguvu alitembelea mwenyekiti.
Myahudi alipenda mkwewe.	Mtu mwenye pupa alipenda mkwewe.
Myahudi mmoja alizungumza na askofu.	Mtu fulani asiye na uvumilivu alizungumza na askofu.
Myahudi mmoja alikutana na msimamizi.	Mtu fulani mwenye udanganyifu alikutana na msimamizi wake.
Myahudi mmoja aliuza kuku.	Mtu asiye na uvumilivu alibadilisha kuku.
Myahudi mmoja alimtembelea mwalimu.	Mtu mmoja mwenye hila alimtembelea bwana.
Myahudi alilipa kwa ajili ya pete.	Mtu mwenye udanganyifu alilipa kwa ajili ya pete.
Myahudi alimkatiza mtawala mkatili.	Mtu mwenye jeuri alimkatiza mtawala mkatili.
Myahudi aliokoa kompyuta.	Mtu dhaifu aliokoa kompyuta.
Myahudi alichukia mtu mwenye cheo cha juu.	Mtaalamu alichukia mtu mwenye cheo cha juu.
Myahudi mmoja alitoa kuku.	Mtu mwenye chuki alitoa kuku.
Myahudi mmoja alinunua gari aina ya jeep.	Mtu mpumbavu alinunua gari aina ya jeep.
Myahudi mmoja aliuza nyati.	Mtu dhaifu aliuza nyati.
Myahudi aliyeitwa hakimu.	Mtu mjanja aitwaye hakimu.
Myahudi alikula chakula cha jioni.	Mtu mwenye tabia mbaya alikula chakula cha jioni.
Myahudi aliweka bajeti ya chumba cha kuvalia.	Mtu mnyofu aliweka bajeti ya chumba cha kuvalia.
Myahudi alichukia kundi la watu.	Mtu safi alichukia kundi.
Myahudi mmoja alibadilisha nguruwe.	Mtu mpumbavu alibadilisha nguruwe.
Myahudi alilipa kwa gari.	Mtu mzuri alilipa kwa gari.
Myahudi alitayarisha muffin.	Mtu mwenye akili alitayarisha muffin.
Myahudi alibadilisha gari.	Mtu mjinga alibadilisha gari.
Myahudi alimkatiza earl.	Mtu mpole alivunja earl.
Myahudi alilipa kwa ajili ya kitanda.	Mtu mwenye pupa alilipa kwa ajili ya kitanda.
Myahudi mmoja aliokoa aproni.	Mtu mwenye haki aliokoa pazia.
Myahudi fulani alimpigia simu mtu fulani aliyemfahamu.	Mtu mzuri aliita mtu anayejulikana.
Myahudi alichukia mstaafu.	Mtu mkatili alimchukia mstaafu.
Myahudi fulani alimkatiza msimamizi.	Mtu fulani asiye na uvumilivu alimkatiza msimamizi.
Myahudi alichukia mtawala.	Mtu asiye na ucheshi alichukia mtawala.
Myahudi mmoja alikuwa rafiki wa sultani.	Mtu asiyejua kitu akafanya urafiki na sultani.
Myahudi mmoja alizungumza na mtawala mmoja.	Mtu mwenye hasira alizungumza na mtawala wa kiume.
Myahudi mmoja alimtambua mtu mwenye umri mkubwa.	Mtu mwenye busara alimtambua mzee.
Myahudi alichukia mteja.	Mtu mwenye hekima alichukia mteja.
Myahudi alilipa kwa mkate.	Mtaalamu alilipa kwa ajili ya mkate.
Myahudi mmoja aliuza ng'ombe.	Mtu mwenye akili aliuza ng'ombe.
Myahudi alikutana na mpiganaji.	Mtu mbaya alikutana na mpiganaji.
Myahudi mmoja aliokoa taa.	Mtu mwenye kiburi aliokoa taa.
Myahudi fulani alimkatiza mwenye nyumba.	Mtu fulani asiye na utamu alimkatiza mwenye nyumba.
Myahudi alibadilisha sofa.	Mtu mzuri alibadilisha sofa.
Myahudi mmoja alikuwa rafiki wa emir.	Mtu mchafu akafanya urafiki na emir.
Myahudi mmoja alimtambulisha kaisari.	Mtu mwenye kiburi alijitambulisha kama kaisari.
Myahudi alichukia mzee.	Mtu mjinga alichukia mzee.
Myahudi mmoja aliandaa chakula cha mchana.	Mtu mwenye utaratibu alitayarisha chakula cha mchana.
Myahudi mmoja alitoa kitanda.	Mtu mwema alitoa kitanda.
Myahudi alipenda ukoo.	Mtu mbaya alipenda kabila.
Myahudi mmoja alimtambulisha mkuu wa shule.	Mtu asiye na uvumilivu alimtambua mkuu wa shule.
Myahudi fulani aliandaa keki.	Mtu mzuri aliandaa keki.
Myahudi mmoja alitoa bluu.	Mtu mzuri alitoa blouse.
Myahudi alichukia wakwe zake.	Mtu mwenye ujuzi alichukia wakwe zake.
Myahudi mmoja alimwita kamanda.	Mtu mkali aitwaye kamanda.
Myahudi alilipa kwa gari.	Mtaalamu alilipa kwa ajili ya gari.
Myahudi mmoja alizungumza na kamanda.	Mtu asiye na ujuzi alizungumza na kamanda.
Myahudi mmoja aliuza keki.	Mtu mbaya aliuza keki.
Myahudi alilipa kwa gari la aina ya SUV.	Mtu mkali alilipa kwa ajili ya SUV.
Myahudi alikula kiamsha kinywa.	Mtu mwema alikula kiamsha kinywa.
Myahudi mmoja aliuza saa.	Mtu mwenye akili aliuza saa.
Myahudi mmoja alitoa shati.	Mtu asiye mtaalamu alitoa shati.
Myahudi mmoja aliuza gari.	Mtu mwaminifu aliuza gari.
Myahudi mmoja alitoa paka.	Mtu asiye na utani alitoa paka.
Myahudi alikula pancake.	Mtu mzuri alikula pancake.
Myahudi alimpenda papa.	Mtu mtukutu alimpenda papa.
Myahudi anaweza kumudu gari.	Mtu mwenye udanganyifu anaweza kumudu gari.
Myahudi aliweka bajeti ya ndizi.	Mtu mwovu aliweka bajeti ya ndizi.
Myahudi ana ndama.	Mtu mwenye akili ana ndama.
Myahudi anaweza kununua nguo.	Mtu mwenye hekima anaweza kumudu mavazi.
Myahudi mmoja alibadilisha mbuzi.	Mtu mbaya sana alibadilisha mbuzi.
Myahudi alipenda mteja.	Mtu mpumbavu alipenda mteja.
Myahudi mmoja alimtambulisha bosi wake.	Mtu mpole alimtambua bosi.
Myahudi alimkatiza mwanajeshi.	Mtu mzuri alivunja farasi.
Myahudi mmoja alitoa mchango wa kiamsha kinywa.	Mtu mzuri alitoa kiamsha kinywa.
Myahudi aliokoa nguruwe.	Mtu mwenye haki aliokoa nguruwe.
Myahudi mmoja alinunua pudding.	Mtu asiye na ucheshi alinunua pudding.
Myahudi alichukia mwakilishi.	Mtu mwenye nguvu alichukia mwakilishi.
Myahudi mmoja alimtembelea mwenye nyumba.	Mtu asiye na utani alimtembelea mwenye nyumba.
Myahudi alilipa kwa ajili ya kiatu.	Mtaalamu alilipa kwa ajili ya kiatu.
Myahudi fulani alimtembelea jirani yake.	Mtu fulani mchafu alimtembelea jirani.
Myahudi mmoja alifanya urafiki na sheikh.	Mtu mkatili alianzisha urafiki na sheikh.
Myahudi mmoja aliitwa mwenyekiti.	Mtu mtukutu aitwaye mwenyekiti.
Myahudi mmoja alimtambulisha mkurugenzi.	Mtu mwovu alimtambua mkurugenzi.
Myahudi mmoja alinunua kabati.	Mtu mwenye tabia mbaya alinunua kabati.
Myahudi alichukia oligarch.	Mtu mwenye hila alimchukia mtawala wa watu.
Myahudi alilipa kwa ajili ya van.	Mtu mzuri alilipa kwa ajili ya van.
Myahudi mmoja alimtambulisha ofisa mmoja.	Mtu mpumbavu alitambua afisa.
Myahudi mmoja alitoa sungura.	Mtu mmoja mkarimu alitoa sungura.
Myahudi mmoja alizungumza na kiongozi fulani.	Mtu mkarimu alizungumza na kiongozi.
Myahudi anaweza kumudu rafu ya vitabu.	Mtu mwenye jeuri anaweza kumudu rafu ya vitabu.
Myahudi alipenda swami.	Mtu mtaalamu alipenda swami.
Myahudi alichukia kamanda.	Mtu safi alichukia kamanda.
Myahudi mmoja alifanya urafiki na dikteta.	Mtu mwenye usafi alishirikiana na dikteta.
Myahudi alikutana na rais.	Mtu mwenye akili alikutana na rais.
Myahudi alimpenda papa.	Mtu asiye na ujuzi alipenda papa.
Myahudi mmoja alimtambua kijana fulani.	Mtu mwenye akili alimtambua kijana.
Myahudi mmoja aliuza kitanda.	Mtu mwenye hila aliuza kitanda.
Myahudi alilipa kwa gari.	Mtu mkatili alilipa kwa gari.
Myahudi mmoja alibadilisha redio.	Mtu fulani mwenye udanganyifu alibadilisha redio.
Myahudi mmoja alitoa friji.	Mtu mwenye hekima alitoa friji.
Myahudi anayeitwa mkaaji.	Mtu mwenye udanganyifu aitwaye mkaazi.
Myahudi alimkatiza mwanafunzi.	Mtu mwenye fadhili alimkatiza kijana mdogo.
Myahudi mmoja aliuza peach.	Mtu mwema aliuza peach.
Myahudi mmoja alimtembelea mtu wa tabaka la juu.	Mtu mwenye akili alimtembelea aristokrat.
Myahudi anamiliki gari.	Mtu mbaya anamiliki van.
Myahudi alibadilishana pudding.	Mtu asiye na ujuzi alibadilisha pudding.
Myahudi alibadilisha televisheni.	Mtu mbaya alibadilisha TV.
Myahudi mmoja alimtembelea hakimu.	Mtu mwenye hasira alimtembelea hakimu.
Myahudi mmoja alitoa mchango wa pizza.	Mtu asiye safi alitoa pizza.
Myahudi mmoja alikutana na kijana mmoja.	Mtu mchafu alikutana na kijana.
Myahudi mmoja alimtembelea ofisa mmoja.	Mtu mwenye tabia mbaya alimtembelea mtendaji.
Myahudi mmoja alikuwa rafiki wa meneja.	Mtu mwenye hekima alianzisha urafiki na msimamizi.
Myahudi mmoja alimtambulisha mtu fulani aliyemfahamu.	Mtu asiye na ujuzi alibainisha mtu aliyemfahamu.
Myahudi alibadilisha televisheni.	Mtu mwenye hekima alibadilisha televisheni.
Myahudi mmoja alimtambulisha amirali.	Mtu asiye safi alimtambua amirali.
Myahudi alimaliza kula chakula cha mchana.	Mtu mbaya alimaliza chakula cha mchana.
Myahudi anaweza kununua aproni.	Mtu mwenye ujuzi anaweza kununua aproni.
Myahudi mmoja alimpenda mzee.	Mtaalamu alipenda mzee.
Myahudi alimkatiza swami.	Mtu mwenye hasira alimkatiza swami.
Myahudi anaweza kumudu kuku.	Mtu mwenye akili anaweza kumudu kuku.
Myahudi alitaja mtu wa ukoo.	Mtu fulani mwenye hila alimtambulisha mtu wa ukoo.
Myahudi anayeitwa kabila.	Mtu mtukutu aitwaye kabila.
Myahudi mmoja alikuwa na urafiki na mwakilishi.	Mtu mpumbavu alifanya urafiki na mwakilishi.
Myahudi fulani aliandaa mlo.	Mtu mbaya alitayarisha chakula.
Myahudi alilipa kwa ajili ya kompyuta.	Mtu mwenye hekima alilipa kwa ajili ya kompyuta.
Myahudi alipenda mtawala.	Mtu mwenye akili alipenda mtawala.
Myahudi alilipa kwa farasi.	Mtu mwenye hila alilipa kwa farasi.
Myahudi fulani alizungumza na kiongozi fulani wa dini ya Kiyahudi.	Mtu mmoja mrembo alizungumza na mkuu wa ukoo.
Myahudi alimpenda mzee wake.	Mtu mkarimu alimpenda mzee.
Myahudi mmoja alimtembelea mtu wa maana sana.	Mtu asiye na elimu alimtembelea mtu muhimu.
Myahudi alipenda meya.	Mtu mwenye kiburi alimpenda meya.
Myahudi mmoja alizungumza na kabila fulani.	Mtu mpumbavu alizungumza na kabila.
Myahudi anamiliki kuku.	Mtu mwenye fadhili anamiliki kuku.
Myahudi mmoja alikuwa rafiki wa mtawala fulani.	Mwanamke mmoja mrembo alianzisha urafiki na mtawala fulani.
Myahudi mmoja aliuza nguruwe.	Mtu mbaya aliuza nguruwe.
